,road_id,lane_id,loc,is_junction
0,412,-1,"[-3.451601028442383, 199.2395782470703, 0.0]",True
1,412,-1,"[-3.451714038848877, 198.7395782470703, 0.0]",True
2,412,-1,"[-3.451827049255371, 198.2395782470703, 0.0]",True
3,412,-1,"[-3.451939582824707, 197.7395782470703, 0.0]",True
4,412,-1,"[-3.452052593231201, 197.2395782470703, 0.0]",True
5,412,-1,"[-3.4521656036376953, 196.7395782470703, 0.0]",True
6,412,-1,"[-3.4522786140441895, 196.2395782470703, 0.0]",True
7,412,-1,"[-3.4523911476135254, 195.7395782470703, 0.0]",True
8,412,-1,"[-3.4525041580200195, 195.2395782470703, 0.0]",True
9,412,-1,"[-3.4526171684265137, 194.7395782470703, 0.0]",True
10,412,-1,"[-3.452730178833008, 194.2395782470703, 0.0]",True
11,412,-1,"[-3.4528427124023438, 193.7395782470703, 0.0]",True
12,412,-1,"[-3.452955722808838, 193.2395782470703, 0.0]",True
13,412,-1,"[-3.453068733215332, 192.7395782470703, 0.0]",True
14,412,-1,"[-3.453181743621826, 192.2395782470703, 0.0]",True
15,412,-1,"[-3.453294277191162, 191.7395782470703, 0.0]",True
16,412,-1,"[-3.4534072875976562, 191.2395782470703, 0.0]",True
17,412,-1,"[-3.4535202980041504, 190.7395782470703, 0.0]",True
18,412,-1,"[-3.4536333084106445, 190.2395782470703, 0.0]",True
19,412,-1,"[-3.4537458419799805, 189.7395782470703, 0.0]",True
20,412,-1,"[-3.4538588523864746, 189.2395782470703, 0.0]",True
21,412,-1,"[-3.4539718627929688, 188.7395782470703, 0.0]",True
22,412,-1,"[-3.454084873199463, 188.2395782470703, 0.0]",True
23,412,-1,"[-3.454197406768799, 187.7395782470703, 0.0]",True
24,412,-1,"[-3.454310417175293, 187.2395782470703, 0.0]",True
25,412,-1,"[-3.454423427581787, 186.7395782470703, 0.0]",True
26,412,-1,"[-3.4545364379882812, 186.2395782470703, 0.0]",True
27,412,-1,"[-3.454648971557617, 185.7395782470703, 0.0]",True
28,412,-1,"[-3.4547619819641113, 185.2395782470703, 0.0]",True
29,412,-1,"[-3.4548749923706055, 184.7395782470703, 0.0]",True
30,412,-1,"[-3.4549880027770996, 184.2395782470703, 0.0]",True
31,412,-1,"[-3.4551005363464355, 183.7395782470703, 0.0]",True
32,412,-1,"[-3.4552135467529297, 183.2395782470703, 0.0]",True
33,412,-1,"[-3.455326557159424, 182.7395782470703, 0.0]",True
34,412,-1,"[-3.455439567565918, 182.2395782470703, 0.0]",True
35,412,-1,"[-3.455552101135254, 181.7395782470703, 0.0]",True
36,411,1,"[-7.451601028442383, 199.24049377441406, 0.0]",True
37,411,1,"[-7.451714038848877, 198.74049377441406, 0.0]",True
38,411,1,"[-7.451827049255371, 198.24049377441406, 0.0]",True
39,411,1,"[-7.451939582824707, 197.74049377441406, 0.0]",True
40,411,1,"[-7.452052593231201, 197.24049377441406, 0.0]",True
